City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
morelia,MX,19.7,-101.18,69.8,68.0,75.0,3.36
ushuaia,AR,-54.8,-68.3,33.8,64.0,75.0,6.93
hilo,US,19.73,-155.09,82.4,58.0,75.0,11.41
hermanus,ZA,-34.42,19.23,50.0,96.0,6.0,1.99
chokurdakh,RU,70.63,147.92,55.99,40.0,100.0,9.22
mahebourg,MU,-20.41,57.7,69.8,88.0,40.0,3.36
salalah,OM,17.02,54.09,84.2,89.0,75.0,4.7
dikson,RU,73.51,80.55,49.44,75.0,45.0,18.97
mar del plata,AR,-38.0,-57.56,52.0,71.0,100.0,14.99
comodoro rivadavia,AR,-45.87,-67.5,42.8,81.0,75.0,12.75
dolores,AR,-36.31,-57.68,49.17,89.0,100.0,12.44
yola,NG,9.2,12.48,72.88,90.0,100.0,2.59
olafsvik,IS,64.89,-23.71,50.18,81.0,71.0,13.18
san cristobal,VE,7.77,-72.22,65.52,82.0,50.0,2.33
alofi,NU,-19.06,-169.92,75.2,100.0,98.0,8.05
busselton,AU,-33.65,115.33,63.0,62.0,68.0,22.21
codrington,AU,-38.27,141.97,54.19,61.0,95.0,16.8
mataura,NZ,-46.19,168.86,46.45,90.0,99.0,8.25
rio muerto,MX,27.42,-110.23,85.62,50.0,26.0,7.7
inhambane,MZ,-23.86,35.38,65.19,70.0,0.0,7.54
pizarro,CO,4.95,-77.37,78.4,84.0,99.0,6.2
tasiilaq,GL,65.61,-37.64,46.4,81.0,100.0,5.82
nevesinje,BA,43.26,18.11,66.2,77.0,1.0,4.7
rikitea,PF,-23.12,-134.97,69.53,54.0,84.0,15.08
tuktoyaktuk,CA,69.45,-133.04,55.4,66.0,20.0,13.87
jamestown,US,42.1,-79.24,69.8,64.0,1.0,6.93
butaritari,KI,3.07,172.79,83.26,67.0,51.0,5.03
provideniya,RU,64.38,-173.3,48.2,70.0,75.0,13.42
nome,US,64.5,-165.41,46.0,70.0,40.0,17.22
puerto ayora,EC,-0.74,-90.35,71.01,89.0,35.0,3.0
puerto ayacucho,VE,5.66,-67.62,75.31,90.0,84.0,2.39
asau,RO,46.43,26.4,66.0,83.0,2.0,5.68
inegol,TR,40.08,29.51,55.4,93.0,0.0,1.12
merauke,ID,-8.47,140.33,81.34,74.0,96.0,16.62
bluff,NZ,-46.6,168.33,49.71,77.0,100.0,21.07
miyako,JP,39.64,141.95,71.85,78.0,100.0,10.89
hithadhoo,MV,-0.6,73.08,84.09,66.0,63.0,3.6
kenai,US,60.55,-151.26,60.8,62.0,20.0,25.28
anlu,CN,31.17,112.58,85.59,69.0,14.0,5.77
new norfolk,AU,-42.78,147.06,50.0,93.0,95.0,3.4
tiksi,RU,71.69,128.87,51.44,55.0,40.0,8.34
livingston,GB,55.9,-3.52,54.0,87.0,20.0,12.75
anori,BR,-3.77,-61.64,73.42,95.0,1.0,1.7
magistralnyy,RU,56.17,107.45,80.73,38.0,0.0,7.7
henties bay,NA,-22.12,14.28,67.55,25.0,0.0,11.45
cidreira,BR,-30.18,-50.21,60.58,92.0,100.0,18.01
vaini,TO,-21.2,-175.2,75.2,94.0,75.0,8.05
cockburn town,TC,21.46,-71.14,82.49,76.0,0.0,15.5
ostrovnoy,RU,68.05,39.51,51.24,72.0,73.0,13.6
hobart,AU,-42.88,147.33,52.0,71.0,75.0,5.82
east london,ZA,-33.02,27.91,60.46,73.0,21.0,15.57
namatanai,PG,-3.67,152.43,84.94,68.0,66.0,5.1
souillac,MU,-20.52,57.52,69.8,88.0,40.0,3.36
